#### Other
Giardia intestinalis	UP000001548
Thalassiosira pseudonana	UP000001449
Cyanidioschyzon merolae	UP000007014
Leishmania major	UP000000542
Cryptosporidium parvum	UP000006726
Plasmodium falciparum	UP000001450
#### Amoeba
Dictyostelium discoideum	UP000002195
#### Fungi
Schizosaccharomyces pombe	UP000002485
Saccharomyces cerevisiae	UP000002311
Eremothecium gossypii	UP000000591
Aspergillus flavus	UP000001875
Microsporum gypseum	UP000002669
Neurospora crassa	UP000001805
Candida albicans	UP000000559
#### Plants
Arabidopsis thaliana	UP000006548
Oryza sativa	UP000007015
Vitis vinifera	UP000009183
Zea mays	UP000007305
Physcomitrella patens	UP000006727
#### Nematodes
Caenorhabditis briggsae	UP000008549
Caenorhabditis elegans	UP000001940
#### Insects
Drosophila melanogaster	UP000000803
Anopheles gambiae	UP000007062
#### Fish
Danio rerio	UP000000437
Takifugu rubripes	UP000005226
#### Birds
Gallus gallus	UP000000539
#### Mammals
Mus musculus	UP000000589
Rattus norvegicus	UP000002494
Felis catus	UP000011712
Canis lupus	UP000002254
Pan troglodytes	UP000002277
Homo sapiens	UP000005640
